Model,Count,Year,Type
Tesla Model 3,1770,2017,EV
Honda Clarity BEV,1126,2017,EV
Volvo XC60 Plug In,356,2017,PHEV
Volvo S90 Plug In,112,2017,PHEV
Honda Clarity Plug-in,903,2017,PHEV
Mitsubishi Outlander Plug In,0,2017,PHEV
Hyundai Ioniq Plug-In,0,2017,PHEV
Kia Niro Plug In,0,2017,PHEV
Mercedes GLC 350e Hybrid,0,2017,PHEV
Jaguar I-Pace,0,2017,EV
Hyundai Kona Electric,0,2017,EV
Subaru Crosstrek Hybrid,0,2017,PHEV
Audi e-tron,0,2017,EV
Kia Niro EV,0,2017,EV
Chevy Volt,18306,2018,PHEV
Nissan Leaf,14715,2018,EV
Smart ED,1219,2018,EV
Mitsubishi I EV,0,2018,EV
BMW Active E,0,2018,EV
Prius PHEV,27595,2018,PHEV
Ford Focus EV,560,2018,EV
Honda Fit EV,0,2018,EV
Tesla Model S,25745,2018,EV
Toyota RAV4 EV,0,2018,EV
Ford C-Max Energi,582,2018,PHEV
Honda Accord,0,2018,PHEV
Ford Fusion Energi,8074,2018,PHEV
Chevy Spark,7,2018,EV
Fiat 500E,2250,2018,EV
Porsche Panamera S E-Hybrid,2036,2018,PHEV
Cadillac ELR,1,2018,PHEV
BMW i3,6117,2018,EV
Mercedes B-Class (B250e),135,2018,EV
BMW i8,772,2018,PHEV
VW e-Golf,1354,2018,EV
Kia Soul EV,1134,2018,EV
Porsche Cayenne S E-Hybrid,1022,2018,PHEV
Mercedes S550 Plug,96,2018,PHEV
Volvo-XC90 Plug In,1387,2018,PHEV
Tesla Model X,26100,2018,EV
BMW X5,4434,2018,PHEV
Hyundai Sonata Plug In,460,2018,PHEV
Audi A3 Plug In,2597,2018,PHEV
BMW 3-series Plug-In,2600,2018,PHEV
Mercedes GLE 550e,966,2018,PHEV
BMW 7-series Plug-in,339,2018,PHEV
Mercedes C350We,1721,2018,PHEV
Chevy Bolt,18019,2018,EV
Kia Optima Plug-in,965,2018,PHEV
Hyundai Ioniq EV,345,2018,EV
Chrysler Pacifica Plug-in Hybrid,7062,2018,PHEV
Cadillac CT6,231,2018,PHEV
BMW 5-Series Plug in,8664,2018,PHEV
MINI Countryman S E,1564,2018,PHEV
Porsche Panamera 4 E-H,0,2018,PHEV
Tesla Model 3,139782,2018,EV
Honda Clarity BEV,948,2018,EV
Volvo XC60 Plug In,2267,2018,PHEV
Volvo S90 Plug In,437,2018,PHEV
Honda Clarity Plug-in,18602,2018,PHEV
Mitsubishi Outlander Plug In,4166,2018,PHEV
Hyundai Ioniq Plug-In,1590,2018,PHEV
Kia Niro Plug In,3389,2018,PHEV
Mercedes GLC 350e Hybrid,567,2018,PHEV
Jaguar I-Pace,393,2018,EV
Hyundai Kona Electric,0,2018,EV
Subaru Crosstrek Hybrid,0,2018,PHEV
Audi e-tron,0,2018,EV
Kia Niro EV,0,2018,EV
Chevy Volt,4915,2019,PHEV
Nissan Leaf,12365,2019,EV
Smart ED,680,2019,EV
Mitsubishi I EV,0,2019,EV
BMW Active E,0,2019,EV
Prius PHEV,23630,2019,PHEV
Ford Focus EV,0,2019,EV
Honda Fit EV,0,2019,EV
Tesla Model S,15090,2019,EV
Toyota RAV4 EV,0,2019,EV
Ford C-Max Energi,0,2019,PHEV
Honda Accord,0,2019,PHEV
Ford Fusion Energi,7476,2019,PHEV
Chevy Spark,0,2019,EV
Fiat 500E,632,2019,EV
Porsche Panamera S E-Hybrid,1958,2019,PHEV
Cadillac ELR,0,2019,PHEV
BMW i3,4854,2019,EV
Mercedes B-Class (B250e),9,2019,EV
BMW i8,1102,2019,PHEV
VW e-Golf,4863,2019,EV
Kia Soul EV,114,2019,EV
Porsche Cayenne S E-Hybrid,1140,2019,PHEV
Mercedes S550 Plug,371,2019,PHEV
Volvo-XC90 Plug In,1710,2019,PHEV
Tesla Model X,19425,2019,EV
BMW X5,167,2019,PHEV
Hyundai Sonata Plug In,456,2019,PHEV
Audi A3 Plug In,437,2019,PHEV
BMW 3-series Plug-In,705,2019,PHEV
Mercedes GLE 550e,1509,2019,PHEV
BMW 7-series Plug-in,80,2019,PHEV
Mercedes C350We,2172,2019,PHEV
Chevy Bolt,16313,2019,EV
Kia Optima Plug-in,350,2019,PHEV
Hyundai Ioniq EV,739,2019,EV
Chrysler Pacifica Plug-in Hybrid,5811,2019,PHEV
Cadillac CT6,25,2019,PHEV
BMW 5-Series Plug in,5442,2019,PHEV
MINI Countryman S E,494,2019,PHEV
Porsche Panamera 4 E-H,0,2019,PHEV
Tesla Model 3,154840,2019,EV
Honda Clarity BEV,742,2019,EV
Volvo XC60 Plug In,1682,2019,PHEV
Volvo S90 Plug In,407,2019,PHEV
Honda Clarity Plug-in,10728,2019,PHEV
Mitsubishi Outlander Plug In,2810,2019,PHEV
Hyundai Ioniq Plug-In,1765,2019,PHEV
Kia Niro Plug In,4051,2019,PHEV
Mercedes GLC 350e Hybrid,2459,2019,PHEV
Jaguar I-Pace,2594,2019,EV
Hyundai Kona Electric,1721,2019,EV
Subaru Crosstrek Hybrid,880,2019,PHEV
Audi e-tron,5369,2019,EV
Kia Niro EV,1562,2019,EV
